20260630                                                                        _____________________________________________________
+T-DIMVDEAL         30/06/26                             0.00                                                                        
+T-DIMVIS           30/06/26                             0.00                                                                        
+T-DIVIQS           30/06/26                             0.00                                                                        
+T-DIVIUNS          30/06/26                        90,000.00-                                                                       
+T-DIVSEC           30/06/26                        90,000.00-                                                                       
+T-EAAUDIT          30/06/26                        98,700.00                                                                        
+T-EABOOKNEWP       30/06/26                         4,502.10                                                                        
+T-EABRCOM          30/06/26                             0.00                                                                        
+T-EABREBATE        30/06/26                    10,000,000.00                                                                        
+T-EADIRATALL       30/06/26                       636,660.00                                                                        
+T-EADIRFEE         30/06/26                       239,861.20                                                                        
+T-EADLRSLICE       30/06/26                        14,560.04                                                                        
+T-EAGST            30/06/26                             0.00                                                                        
+T-EAGSTA           30/06/26                             0.00                                                                        
+T-EAGST1           30/06/26                             0.00                                                                        
+T-EAGST2           30/06/26                             0.00                                                                        
+T-EALEGAL          30/06/26                        26,416.80                                                                        
+T-EALICENCE        30/06/26                        75,000.00                                                                        
+T-EAOTCOMM         30/06/26                        24,000.00                                                                        
+T-EAOTHERS         30/06/26                        78,700.52                                                                        
+T-EAPNS            30/06/26                       100,080.01                                                                        
+T-EAPOSTAGE        30/06/26                       114,162.47                                                                        
+T-EAPROFEE         30/06/26                        98,437.64                                                                        
+T-EARESSHA         30/06/26                     2,150,250.00                                                                        
+T-EASTAMPD         30/06/26                        14,331.00-                                                                       
+T-EASUBS           30/06/26                     1,047,924.73                                                                        
+T-EATELEPHO        30/06/26                       119,764.78                                                                        
+T-ECBLOOMCOM       30/06/26                             0.00                                                                        
+T-ECDEPN           30/06/26                       709,053.77                                                                        
+T-ECGENREP         30/06/26                        38,923.60                                                                        
+T-ECGUARANT        30/06/26                             0.00                                                                        
+T-ECINSURAN        30/06/26                       272,905.27                                                                        
+T-ECLNW            30/06/26                        56,460.00                                                                        
+T-ECMAINSERV       30/06/26                        61,899.75                                                                        
+T-ECRENFISS        30/06/26                       354,122.47                                                                        
+T-ECUPKEEPOE       30/06/26                        35,349.52                                                                        
+T-EMKTGADV         30/06/26                             0.00                                                                        
+T-EMKTGENT         30/06/26                         7,648.73                                                                        
+T-EMKTGOTH         30/06/26                        22,541.88                                                                        
+T-EMKTGTRAV        30/06/26                        16,321.07                                                                        
+T-EPCALLOW         30/06/26                             0.00                                                                        
+T-EPCBEIS          30/06/26                        11,939.30                                                                        
+T-EPCBKEPF         30/06/26                     2,847,867.66                                                                        
+T-EPCBSOCSO        30/06/26                       105,384.65                                                                        
+T-EPCEXGRAT        30/06/26                     1,941,492.24                                                                        
+T-EPCINCBON        30/06/26                             0.00                                                                        
+T-EPCOMEMS         30/06/26                             0.00                                                                        
+T-EPCOSCD          30/06/26                     1,600,243.76                                                                        
+T-EPCOSTL          30/06/26                        28,109.60                                                                        
+T-EPCOT            30/06/26                         1,093.59                                                                        
+T-EPCRBF           30/06/26                             0.00                                                                        
+T-EPCS T&T         30/06/26                        16,321.07                                                                        
+T-EPCSALLOW        30/06/26                         1,740.00-                                                                       
+T-EPCSALWAG        30/06/26                    11,317,124.98                                                                        
+T-EPCSBONUS        30/06/26                     5,701,861.71                                                                        
+T-EPCSTECF         30/06/26                       282,820.86                                                                        
+T-EPCSTEDIR        30/06/26                        47,976.20                                                                        
+T-EPCSTEEXP        30/06/26                        17,782.92                                                                        
+T-EPCSTEFUND       30/06/26                            99.32                                                                        
+T-EPCSTERIM        30/06/26                         5,746.00                                                                        
+T-EPCSTETRAN       30/06/26                           780.00                                                                        
+T-EPCSWLAU         30/06/26                         3,966.00                                                                        
+T-EPCSWMED         30/06/26                       336,128.18                                                                        
+T-EPCSWOTH         30/06/26                       186,524.37                                                                        
+T-EPCSWSINS        30/06/26                       113,143.81                                                                        
+T-ESTRI            30/06/26                             0.00                                                                        
+T-FEEAGREEM        30/06/26                             0.00                                                                        
+T-FEECLGFEE        30/06/26                             0.00                                                                        
+T-FEECUSTOD        30/06/26                             0.00                                                                        
+T-FEEOCOMM         30/06/26                        74,915.10-                                                                       
+T-FEEOOTHFEE       30/06/26                       753,725.59-                                                                       
+T-FEETRSF          30/06/26                             0.00                                                                        
+T-FILE STAMP       30/06/26                        14,331.00-                                                                       
+T-FINES            30/06/26                             0.00                                                                        
+T-GUARANTFEE       30/06/26                             0.00                                                                        
+T-IEBA             30/06/26                             0.00                                                                        
+T-IECDFD           30/06/26                     1,970,306.41                                                                        
+T-IECDNID          30/06/26                             0.00                                                                        
+T-IECDNID 2        30/06/26                             0.00                                                                        
+T-IECOL            30/06/26                             0.00                                                                        
+T-IEIBLB           30/06/26                     5,716,025.04                                                                        
+T-IEIBMERBK        30/06/26                     6,676,073.12                                                                        
+T-IEIBNCAG         30/06/26                       386,761.02                                                                        
+T-IEIBNDISC        30/06/26                       941,604.72                                                                        
+T-IEIBNOTH         30/06/26                             0.00                                                                        
+T-IELEASE          30/06/26                       373,302.53                                                                        
+T-IEOOTHERS        30/06/26                        68,693.47                                                                        
+T-IEOSTD           30/06/26                    12,036,700.99                                                                        
+T-IEURMGS          30/06/26                     7,073,652.80                                                                        
+T-IEURNID          30/06/26                             0.00                                                                        
+T-IEURRMGS         30/06/26                             0.00                                                                        
+T-IISCHG           30/06/26                             0.00                                                                        
+T-IISCHGBS         30/06/26                            95.61-                                                                       
+T-IMPRQUO          30/06/26                             0.00                                                                        
+T-INC RR MGI       30/06/26                             0.00                                                                        
+T-INQUOTED-A       30/06/26                             0.00                                                                        
+T-INT  ROUA        30/06/26                       373,302.53                                                                        
+T-INT MTN L        30/06/26                     2,708,159.07-                                                                       
+T-INTPEN           30/06/26                           202.13-                                                                       
+T-INVLBNM-A        30/06/26                             0.00                                                                        
+T-INVLDBNM         30/06/26                             0.00                                                                        
+T-INVLDCCMB        30/06/26                             0.00                                                                        
+T-INVLDMGI         30/06/26                        23,905.99                                                                        
+T-INVLDMGS         30/06/26                        87,332.45                                                                        
+T-INVLDNCDST       30/06/26                             0.00                                                                        
+T-INVLDPDS         30/06/26                             0.00                                                                        
+T-INVLDPDSI        30/06/26                             0.00                                                                        
+T-INVLDTB          30/06/26                             0.00                                                                        
+T-INVLIMGI         30/06/26                             0.00                                                                        
+T-INVLMGI-I        30/06/26                        75,466.80                                                                        
+T-INVLMGS(A)       30/06/26                        58,523.97                                                                        
+T-INVLQUOTED       30/06/26                             0.00                                                                        
+T-INVNIDISS        30/06/26                             0.00                                                                        
+T-INVPDBARED       30/06/26                             0.00                                                                        
+T-INVPDBNM         30/06/26                             0.00                                                                        
+T-INVPDBNM-A       30/06/26                             0.00                                                                        
+T-INVPDCAG         30/06/26                             0.00                                                                        
+T-INVPDISL         30/06/26                             0.00                                                                        
+T-INVPDMGS         30/06/26                       216,260.37-                                                                       
+T-INVPDPDS         30/06/26                             0.00                                                                        
+T-INVPDS           30/06/26                             0.00                                                                        
+T-INVPDS(A)        30/06/26                             0.00                                                                        
+T-INVPDTB          30/06/26                             0.00                                                                        
+T-INVPIBA          30/06/26                             0.00                                                                        
+T-INVPIBNM         30/06/26                             0.00                                                                        
+T-INVPIMGI         30/06/26                             0.00                                                                        
+T-INVPIMGS         30/06/26                             0.00                                                                        
+T-INVPINBOND       30/06/26                             0.00                                                                        
+T-INVPINID         30/06/26                             0.00                                                                        
+T-INVPMGIAFS       30/06/26                       307,012.89-                                                                       
+T-INVPMGIHFT       30/06/26                        19,300.43-                                                                       
+T-INVPMGSAFS       30/06/26                             0.00                                                                        
+T-INVQUOTEDS       30/06/26                             0.00                                                                        
+T-IRAFSBNM         30/06/26                             0.00                                                                        
+T-IRAFSIDS         30/06/26                     1,593,506.91-                                                                       
+T-IRAFSISNID       30/06/26                             0.00                                                                        
+T-IRAFSKHA         30/06/26                             0.00                                                                        
+T-IRAFSMGI         30/06/26                     7,762,011.73-                                                                       
+T-IRAFSMGS         30/06/26                    11,696,399.32-                                                                       
+T-IRAFSNIDST       30/06/26                             0.00                                                                        
+T-IRAFSPDS         30/06/26                       929,298.63-                                                                       
+T-IRAFSTRE         30/06/26                             0.00                                                                        
+T-IRDISLNID        30/06/26                             0.00                                                                        
+T-IRDMGI           30/06/26                       277,567.77-                                                                       
+T-IRDSBAS          30/06/26                             0.00                                                                        
+T-IRDSBNMB         30/06/26                             0.00                                                                        
+T-IRDSCAGN         30/06/26                             0.00                                                                        
+T-IRDSDOMB         30/06/26                             0.00                                                                        
+T-IRDSIDS          30/06/26                             0.00                                                                        
+T-IRDSMGI          30/06/26                       277,567.77-                                                                       
+T-IRDSMGS          30/06/26                       422,825.72-                                                                       
+T-IRDSNCD ST       30/06/26                             0.00                                                                        
+T-IRDSNID          30/06/26                             0.00                                                                        
+T-IRDSPDS          30/06/26                             0.00                                                                        
+T-IRDSREVREP       30/06/26                             0.00                                                                        
+T-IRDSRRMGS        30/06/26                             0.00                                                                        
+T-IRDSTB           30/06/26                             0.00                                                                        
+T-IRDTB            30/06/26                             0.00                                                                        
+T-IRIBBNM          30/06/26                             0.00                                                                        
+T-IRIBCAGAM        30/06/26                             0.00                                                                        
+T-IRIBDISC         30/06/26                       283,179.91-                                                                       
+T-IRIBFINCO        30/06/26                             0.00                                                                        
+T-IRIBLB           30/06/26                     1,255,772.41-                                                                       
+T-IRIBLIB          30/06/26                             0.00                                                                        
+T-IRIBMERBK        30/06/26                     4,810,625.67-                                                                       
+T-IRIBOTHFI        30/06/26                             0.00                                                                        
+T-IRISBNMB         30/06/26                             0.00                                                                        
+T-IRISCAGB         30/06/26                             0.00                                                                        
+T-IRISISLAM        30/06/26                     3,703,952.13-                                                                       
+T-IRISISLAMB       30/06/26                     3,240,787.74-                                                                       
+T-IRISKHA          30/06/26                             0.00                                                                        
+T-IRISMGI          30/06/26                     2,610,209.22-                                                                       
+T-IRISMGS          30/06/26                     2,406,100.76-                                                                       
+T-IRISNID          30/06/26                             0.00                                                                        
+T-IRISOBA          30/06/26                             0.00                                                                        
+T-IRISPDS          30/06/26                       463,164.39-                                                                       
+T-IRISTB           30/06/26                             0.00                                                                        
+T-IRLBAS           30/06/26                       116,474.16-                                                                       
+T-IRLREVCR         30/06/26                     3,334,237.26-                                                                       
+T-IRLSTAFFL        30/06/26                             0.00                                                                        
+T-IRTL             30/06/26                     9,586,300.53-                                                                       
+T-ITD              30/06/26                     1,099,141.28                                                                        
+T-ITD COMSE        30/06/26                     1,061,805.48                                                                        
+T-ITD COMSTS       30/06/26                        37,335.80                                                                        
+T-LEADMAFEE        30/06/26                     1,444,901.00-                                                                       
+T-LFBDCOLLA        30/06/26                       716,690.68-                                                                       
+T-LFBDGEN          30/06/26                             0.00                                                                        
+T-LFBDOTHERS       30/06/26                             0.00                                                                        
+T-LFBDRECOVE       30/06/26                             0.00                                                                        
+T-LFBDSPEC         30/06/26                             0.00                                                                        
+T-LFWRITEBK        30/06/26                             0.00                                                                        
+T-LNLOSS           30/06/26                             0.00                                                                        
+T-LOANPROC         30/06/26                             0.00                                                                        
+T-LOSSDOFA         30/06/26                             0.00                                                                        
+T-MIDSFEE          30/06/26                       163,839.29-                                                                       
+T-MKTOPERI         30/06/26                             0.00                                                                        
+T-MKTRI            30/06/26                             0.00                                                                        
+T-NBD              30/06/26                       316,863.97                                                                        
+T-OE RENTAL        30/06/26                             0.00                                                                        
+T-OIFAWO           30/06/26                             0.00                                                                        
+T-OTHCOM           30/06/26                             0.00                                                                        
+T-OTHEXP           30/06/26                        18,363.35                                                                        
+T-OTHSOINC         30/06/26                       553,905.21-                                                                       
+T-PARTICIFEE       30/06/26                        48,800.00-                                                                       
+T-PARTICIFE1       30/06/26                             0.00                                                                        
+T-PDISPFA          30/06/26                         8,998.00-                                                                       
+T-PLACEFEE         30/06/26                       846,852.50-                                                                       
+T-PREMCAGA         30/06/26                             0.00                                                                        
+T-PREMIMGI         30/06/26                       122,333.25                                                                        
+T-PREMIMGS         30/06/26                        24,138.02                                                                        
+T-PREMKHZ          30/06/26                             0.00                                                                        
+T-PREMLSNID        30/06/26                             0.00                                                                        
+T-PREMMGIAFS       30/06/26                     1,510,665.09                                                                        
+T-PREMMGS          30/06/26                        41,920.06                                                                        
+T-PREMMGSAFS       30/06/26                     1,288,174.30                                                                        
+T-PREMNIDISL       30/06/26                             0.00                                                                        
+T-PREMNSTAFS       30/06/26                             0.00                                                                        
+T-PREMPDS          30/06/26                       236,722.67                                                                        
+T-PREMSSNID        30/06/26                             0.00                                                                        
+T-REALFOREX        30/06/26                       234,666.35-                                                                       
+T-RECCORPFEE       30/06/26                             0.00                                                                        
+T-RENT             30/06/26                       109,081.23                                                                        
+T-RENT OFF         30/06/26                        86,062.20                                                                        
+T-RENT STORE       30/06/26                        23,019.03                                                                        
+T-ROUNDING         30/06/26                             0.14                                                                        
+T-SAFEKEEP         30/06/26                         3,122.31                                                                        
+T-SCF              30/06/26                       469,783.87                                                                        
+T-SCL              30/06/26                     1,664,629.91                                                                        
+T-SCORE FEE        30/06/26                       464,662.00                                                                        
+T-SEC SER          30/06/26                             0.00                                                                        
+T-SGR SCHEME       30/06/26                             0.00                                                                        
+T-SPC              30/06/26                             0.00                                                                        
+T-SPR              30/06/26                             0.00                                                                        
+T-SRB SCHEME       30/06/26                             0.00                                                                        
+T-STFOPERI         30/06/26                             0.00                                                                        
+T-STFRI            30/06/26                             0.00                                                                        
+T-TRANSF           30/06/26                        51,352.38                                                                        
+T-TRBDGEN          30/06/26                             0.00                                                                        
+T-TREMMGI          30/06/26                        28,994.48                                                                        
+T-UNDWRITFEE       30/06/26                       479,000.00-                                                                       
+T-UNREALISED       30/06/26                     1,757,761.93-                                                                       
+TEST1              30/06/26                         1,731.87                                                                        
+YRENDCBS           30/06/26                    38,946,741.47                                                                        
+YRENDCPL           30/06/26                    38,966,861.47-                                                                       
+49760000000Y       30/06/26                     2,976,568.87-                                                                       
+49860000000Y       30/06/26                     2,976,568.87-                                                                       
+89000000000A       30/06/26                            95.61-                                                                       
+89000000000B       30/06/26                             0.00                                                                        
+89000000000Y       30/06/26                            95.61-                                                                       
