20260630                                                                        _____________________________________________________
+S-AFS UN-ISL       30/06/26                       574,460.93-                                                                       
+S-AFS UN-KHA       30/06/26                             0.00                                                                        
+S-AFS UN-MGS       30/06/26                     2,651,567.86-                                                                       
+S-AFS UN-PDS       30/06/26                       524,703.03                                                                        
+S-AFS UN-TRE       30/06/26                             0.00                                                                        
+S-AFS UNREAL       30/06/26                             0.00                                                                        
+S-AFSDIM PIN       30/06/26                             0.00                                                                        
+S-AFSRES           30/06/26                       759,017.22-                                                                       
+S-AFSUN-NIDI       30/06/26                             0.00                                                                        
+S-ALLW COMM        30/06/26                       118,987.09-                                                                       
+S-AMOPDSI(I)       30/06/26                     1,161,013.46                                                                        
+S-AMORT MTN        30/06/26                             0.00                                                                        
+S-AMORTBNMM        30/06/26                             0.00                                                                        
+S-AMORTCAGT        30/06/26                             0.00                                                                        
+S-AMORTIAS         30/06/26                     1,750,005.00-                                                                       
+S-AMORTKHA-O       30/06/26                             0.00                                                                        
+S-AMORTMGI         30/06/26                     1,078,463.77                                                                        
+S-AMORTMGI-A       30/06/26                     4,807,115.31                                                                        
+S-AMORTMGS         30/06/26                       980,873.27                                                                        
+S-AMORTMGS-A       30/06/26                     5,723,933.08                                                                        
+S-AMORTMGST        30/06/26                       812,407.86                                                                        
+S-AMORTPDS         30/06/26                        27,621.91                                                                        
+S-AMORTPDS-A       30/06/26                       320,338.75                                                                        
+S-AMORTPDST        30/06/26                             0.00                                                                        
+S-AMORTPDSTI       30/06/26                             0.00                                                                        
+S-AMRT NID A       30/06/26                             0.00                                                                        
+S-AMTDUEFPBB       30/06/26                             0.00                                                                        
+S-AMTDUEPCON       30/06/26                             0.00                                                                        
+S-AMTDUEPMBB       30/06/26                             0.00                                                                        
+S-AMTDUETPBB       30/06/26                             0.00                                                                        
+S-AP S/OFF         30/06/26                             0.00                                                                        
+S-AP SUS           30/06/26                             0.00                                                                        
+S-BA               30/06/26                     8,146,732.10                                                                        
+S-BA F             30/06/26                     4,353,267.90                                                                        
+S-BA O/S           30/06/26                             0.00                                                                        
+S-BAS              30/06/26                             0.00                                                                        
+S-BAS IRIA         30/06/26                             0.00                                                                        
+S-BAST             30/06/26                             0.00                                                                        
+S-BGRECADV         30/06/26                             0.00                                                                        
+S-BNM              30/06/26                        17,707.02                                                                        
+S-BNM BILL M       30/06/26                             0.00                                                                        
+S-BNM BILL T       30/06/26                             0.00                                                                        
+S-BNM IRIADV       30/06/26                             0.00                                                                        
+S-BNM O/N          30/06/26                             0.00                                                                        
+S-BNM(AFS)         30/06/26                             0.00                                                                        
+S-BNMFL            30/06/26                             0.00                                                                        
+S-BNMFL 1MTH       30/06/26                             0.00                                                                        
+S-CAG              30/06/26                             0.00                                                                        
+S-CAG FIX          30/06/26                             0.00                                                                        
+S-CAG T            30/06/26                             0.00                                                                        
+S-CAGANOTES        30/06/26                             0.00                                                                        
+S-CAGANOTEST       30/06/26                             0.00                                                                        
+S-CAGFL 1MTH       30/06/26                             0.00                                                                        
+S-CB               30/06/26                             0.00                                                                        
+S-CB FEE REC       30/06/26                        10,115.62                                                                        
+S-CGFL             30/06/26                             0.00                                                                        
+S-CL CTL CR        30/06/26                        21,803.52-                                                                       
+S-CLIENT CTL       30/06/26                     6,729,028.49                                                                        
+S-COMPDEPNHW       30/06/26                     2,211,859.74-                                                                       
+S-COMPDEPNSW       30/06/26                     2,400,772.24-                                                                       
+S-COMPH/W          30/06/26                     2,802,225.30                                                                        
+S-COMPS/W          30/06/26                     2,944,333.02                                                                        
+S-CONTRA           30/06/26                             0.00                                                                        
+S-CORPADVFEE       30/06/26                       796,890.32                                                                        
+S-CSCOLP           30/06/26                         4,284.00                                                                        
+S-CSCOLR           30/06/26                             0.00                                                                        
+S-CURPNL           30/06/26                    29,998,628.82-                                                                       
+S-D T ASSETS       30/06/26                     6,620,997.24                                                                        
+S-DEF RES          30/06/26                             0.00                                                                        
+S-DEPNCOPMSW       30/06/26                       246,043.51                                                                        
+S-DEPNF&F          30/06/26                        42,589.71                                                                        
+S-DEPNH/W          30/06/26                       140,297.54                                                                        
+S-DEPNMV           30/06/26                             0.00                                                                        
+S-DEPNO/E          30/06/26                        33,587.65                                                                        
+S-DH FIX           30/06/26                    10,000,000.00-                                                                       
+S-DH O/N           30/06/26                    10,000,000.00-                                                                       
+S-DHFL             30/06/26                             0.00                                                                        
+S-DHFL 1MTH        30/06/26                             0.00                                                                        
+S-DIM PDS D        30/06/26                             0.00                                                                        
+S-DIM PIN BF       30/06/26                             0.00                                                                        
+S-DIM ZNID M       30/06/26                             0.00                                                                        
+S-DIMI CD LT       30/06/26                             0.00                                                                        
+S-DIMI CD ST       30/06/26                             0.00                                                                        
+S-DIMI MTB T       30/06/26                             0.00                                                                        
+S-DIMKB            30/06/26                             0.00                                                                        
+S-DNBFI I/B        30/06/26                             0.00                                                                        
+S-DNBFI 1MTH       30/06/26                             0.00                                                                        
+S-DNBFI>1MTH       30/06/26                             0.00                                                                        
+S-DTAX             30/06/26                     6,620,997.24                                                                        
+S-EALIS CUR        30/06/26                        67,434.60                                                                        
+S-F&F              30/06/26                       647,189.73                                                                        
+S-FCY STOCK        30/06/26                             0.00                                                                        
+S-FCYSUNCRE        30/06/26                         8,170.01                                                                        
+S-FD               30/06/26                   113,299,552.44-                                                                       
+S-FESTIVE          30/06/26                        62,426.00                                                                        
+S-FIXED DEP        30/06/26                             0.00                                                                        
+S-FRANKING         30/06/26                        11,719.32                                                                        
+S-GEN RES          30/06/26                             0.00                                                                        
+S-GOLF CM          30/06/26                       110,338.42                                                                        
+S-GS TRE           30/06/26                             0.00                                                                        
+S-GSTPAY           30/06/26                             0.00                                                                        
+S-GSTPAY4          30/06/26                             0.00                                                                        
+S-GSTPAY5          30/06/26                             0.00                                                                        
+S-GSTREFUND        30/06/26                             0.00                                                                        
+S-GSTREFUND2       30/06/26                             0.00                                                                        
+S-GSTREFUND3       30/06/26                             0.00                                                                        
+S-GUARANTEE        30/06/26                     5,700,000.00                                                                        
+S-HFT              30/06/26                   120,000,000.00                                                                        
+S-HFT UNREAL       30/06/26                             0.00                                                                        
+S-HFTIUNREAL       30/06/26                             0.00                                                                        
+S-IA               30/06/26                    28,000,000.00                                                                        
+S-IAISLDE(D)       30/06/26                       276,709.59                                                                        
+S-IASLDE(D)        30/06/26                             0.00                                                                        
+S-IIAKB            30/06/26                             0.00                                                                        
+S-IMPAIRMENT       30/06/26                             0.00                                                                        
+S-IMPRQUOTED       30/06/26                             0.00                                                                        
+S-INT RR MGI       30/06/26                             0.00                                                                        
+S-INTADVBNMA       30/06/26                             0.00                                                                        
+S-INTADVBNMD       30/06/26                             0.00                                                                        
+S-INTADVBNMM       30/06/26                             0.00                                                                        
+S-INTADVISLI       30/06/26                             0.00                                                                        
+S-INTADVKHAO       30/06/26                             0.00                                                                        
+S-INTADVNCDS       30/06/26                             0.00                                                                        
+S-INTADVNIDI       30/06/26                             0.00                                                                        
+S-INTADVTREA       30/06/26                             0.00                                                                        
+S-INTISLD(D)       30/06/26                             0.00                                                                        
+S-INTPAY           30/06/26                     7,728,785.58-                                                                       
+S-INTPAYANID       30/06/26                             0.00                                                                        
+S-INTPAYNIDA       30/06/26                             0.00                                                                        
+S-INTREC MTN       30/06/26                       743,203.16                                                                        
+S-INTREC RC1       30/06/26                       250,273.81                                                                        
+S-INTREC'LN        30/06/26                     1,121,099.15                                                                        
+S-INTREC'OTH       30/06/26                       110,338.42                                                                        
+S-INTRECHFT        30/06/26                             0.00                                                                        
+S-INTRECPBS        30/06/26                            95.61                                                                        
+S-INTRECPLAC       30/06/26                       875,366.26                                                                        
+S-INTRECREPO       30/06/26                             0.00                                                                        
+S-IR               30/06/26                             0.00                                                                        
+S-IR MGS T         30/06/26                     1,274,978.74                                                                        
+S-IRAZNIDISL       30/06/26                             0.00                                                                        
+S-IRBNMBILLM       30/06/26                             0.00                                                                        
+S-IRCAG T          30/06/26                             0.00                                                                        
+S-IRCAGANOTE       30/06/26                             0.00                                                                        
+S-IRCAGNOTES       30/06/26                             0.00                                                                        
+S-IRCAGT           30/06/26                             0.00                                                                        
+S-IRIA KHAPL       30/06/26                             0.00                                                                        
+S-IRISNID LT       30/06/26                             0.00                                                                        
+S-IRISNID ST       30/06/26                             0.00                                                                        
+S-IRMGI (I)        30/06/26                     1,991,926.86                                                                        
+S-IRMGS T          30/06/26                     1,075,458.57                                                                        
+S-IRMGS(D)         30/06/26                     1,075,458.57                                                                        
+S-IRMGS(I)         30/06/26                     1,274,978.74                                                                        
+S-IRNMBILL         30/06/26                             0.00                                                                        
+S-IRNMBILLM        30/06/26                             0.00                                                                        
+S-IRPDS            30/06/26                       276,709.59                                                                        
+S-IRRAMTN(I)       30/06/26                             0.00                                                                        
+S-IRRANIDINV       30/06/26                             0.00                                                                        
+S-IRRANMTN         30/06/26                             0.00                                                                        
+S-ISIRIABAS        30/06/26                             0.00                                                                        
+S-ISL(A) INT       30/06/26                     1,077,705.49                                                                        
+S-ISLAMIC(A)       30/06/26                   115,000,000.00                                                                        
+S-ISLDEBT(D)       30/06/26                             0.00                                                                        
+S-ISLNCDZ          30/06/26                             0.00                                                                        
+S-ISLPDS (I)       30/06/26                   215,000,000.00                                                                        
+S-ISLPDSI(I)       30/06/26                     2,029,435.63                                                                        
+S-ISS              30/06/26                             0.00                                                                        
+S-KAPITICONV       30/06/26                             0.00                                                                        
+S-KB               30/06/26                             0.00                                                                        
+S-KHA INTOCI       30/06/26                             0.00                                                                        
+S-KHA(FVOCI)       30/06/26                             0.00                                                                        
+S-KHA(OCI)         30/06/26                             0.00                                                                        
+S-KHA-PL           30/06/26                             0.00                                                                        
+S-LB FIX           30/06/26                   380,980,000.00-                                                                       
+S-LB O/N           30/06/26                   200,980,000.00-                                                                       
+S-LBFD             30/06/26                             0.00                                                                        
+S-LBFL             30/06/26                             0.00                                                                        
