NS011     |0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS013     |0000130581331.88|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000130581331.88                                                                                                                                                                                                                                                                                                                                                                                                    
NS015     |0000130581331.88|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000130581331.88                                                                                                                                                                                                                                                                                                                                                                                                    
NS025     |0000304012700.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000304012700.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS027     |0000304012700.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000304012700.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS032     |0000816541345.34|0000204000000.00|0000105000000.00|0000000000000.00|0000000000000.00|0001125541345.34                                                                                                                                                                                                                                                                                                                                                                                                    
NS034     |0000322611345.34|0000029000000.00|0000005000000.00|0000000000000.00|0000000000000.00|0000356611345.34                                                                                                                                                                                                                                                                                                                                                                                                    
NS035     |0000493930000.00|0000175000000.00|0000100000000.00|0000000000000.00|0000000000000.00|0000768930000.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS076     |0000001301929.59|0000002690849.32|0000001821561.64|0000000000000.00|0000000000000.00|0000005814340.55                                                                                                                                                                                                                                                                                                                                                                                                    
NS122     |0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0001239418693.65|0001239418693.65                                                                                                                                                                                                                                                                                                                                                                                                    
NS128     |0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000285974899.27|0000285974899.27                                                                                                                                                                                                                                                                                                                                                                                                    
NS194     |0000000000000.00|0000000000000.00|0000000000000.00|0000020102127.39|0000095452717.98|0000115554845.37                                                                                                                                                                                                                                                                                                                                                                                                    
NS206     |0000230000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000230000000.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS251     |0000000977213.70|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000977213.70                                                                                                                                                                                                                                                                                                                                                                                                    
NS282     |0000304012700.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000304012700.00                                                                                                                                                                                                                                                                                                                                                                                                    
