NS011     |0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS013     |0000111150235.44|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000111150235.44                                                                                                                                                                                                                                                                                                                                                                                                    
NS015     |0000111150235.44|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000111150235.44                                                                                                                                                                                                                                                                                                                                                                                                    
NS025     |0000199393500.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000199393500.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS027     |0000199393500.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000199393500.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS032     |0000820406693.42|0000249000000.00|0000005000000.00|0000000000000.00|0000000000000.00|0001074406693.42                                                                                                                                                                                                                                                                                                                                                                                                    
NS034     |0000448046693.42|0000034000000.00|0000005000000.00|0000000000000.00|0000000000000.00|0000487046693.42                                                                                                                                                                                                                                                                                                                                                                                                    
NS035     |0000372360000.00|0000215000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000587360000.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS076     |0000001421798.60|0000003686902.74|0000000101260.27|0000000000000.00|0000000000000.00|0000005209961.62                                                                                                                                                                                                                                                                                                                                                                                                    
NS122     |0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0001258176521.12|0001258176521.12                                                                                                                                                                                                                                                                                                                                                                                                    
NS128     |0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000285762777.78|0000285762777.78                                                                                                                                                                                                                                                                                                                                                                                                    
NS194     |0000000000000.00|0000000000000.00|0000000000000.00|0000020125430.19|0000095581210.53|0000115706640.72                                                                                                                                                                                                                                                                                                                                                                                                    
NS206     |0000260000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000260000000.00                                                                                                                                                                                                                                                                                                                                                                                                    
NS251     |0000001019547.95|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000001019547.95                                                                                                                                                                                                                                                                                                                                                                                                    
NS282     |0000199393500.00|0000000000000.00|0000000000000.00|0000000000000.00|0000000000000.00|0000199393500.00                                                                                                                                                                                                                                                                                                                                                                                                    
